human;mouse;zebrafish;drosophila;c.elegans;ciliate;yeast;methanocaldococcus;thermococcus;e.coli;tuberculosis
9,03E+01;8,33E+01;80,97469413;68,63078414;66,18508682;56,61083392;-1,254661509;3;0,823908741;-0,079181246;0,397940009
86,54515514;8,29E+01;7,07E+01;5,85E+01;6,43E+01;4,87E+01;5,65E+01;-0,414973348;0,769551079;-0,26;-0,342422681
9,57E+01;9,58E+01;1,77E-95;9,39E-96;4,46E-94;8,41E-86;3,31E-87;0,034;0,057;0,9;4,6
1,09E-67;7,60E-68;6,79E+01;6,71E+01;6,72E+01;4,47E+01;5,20E+01;4,09E+00;4,48E+00;-0,113943352;1,161150909
300;300;300;1,33E+02;0;2,522878745;0,585026652;0,823908741;1,318758763;0,420216403;1,187086643
